QuestionID,Question,Difficulty,Answer
Ques_180,What Is Hive?,Easy,Hive can be thought of as a data warehouse infrastructure for providing summarization  query and analysis of data that is managed by Hadoop.Hive provides a SQL interface for data that is stored in Hadoop.And  it implicitly converts queries into MapReduce jobs so that the programmer can work at a higher level than he or she would when writing MapReduce jobs in Java. Hive is an integral part of the Hadoop ecosystem that was initially developed at Facebook and is now an active Apache open source project.
Ques_181,What is a Discrete Time Signal?,Easy, A discrete time signal x (n) is a function of an independent variable that is an integer. a discrete time signal is not defined at instant between two successive samples.
Ques_182,What is a Discrete Time System?,Easy,A discrete or an algorithm that performs some prescribed operation on a discrete time signal is called discrete time system.
Ques_183,Define Sectional Convolution?,Easy, If the data sequence x(n) is of long duration it is very difficult to obtain the output sequence y(n) due to limited memory of a digital computer. Therefore  the data sequence is divided up into smaller sections. These sections are processed separately one at a time and controlled later to get the output.
Ques_184,What Is Overlap-save Method?,Medium,n this method the data sequence is divided into N point sections xi(n).Each section contains the last M-1 data points of the previous section followed by L new data points to form a data sequence of length N=L+M-1.In circular convolution of xi(n) with h(n) the first M-1 points will not agree with the linear convolution of xi(n) and h(n) because of aliasing  the remaining points will agree with linear convolution. Hence we discard the first (M-1) points of filtered section xi(n) N h(n). This process is repeated for all sections and the filtered sections are abutted together.
Ques_185,What Is Fft?,Medium, The Fast Fourier Transform is an algorithm used to compute the DFT. It makes use of the symmetry and periodicity properties of twiddle factor to effectively reduce the DFT computation time.It is based on the fundamental principle of decomposing the computation of DFT of a sequence of length N into successively smaller DFTs.
Ques_186,What Is Meant By Radix-2 Fft?,Medium, The FFT algorithm is most efficient in calculating N point DFT. If the number of output points N can be expressed as a power of 2 that is N=2M  where M is an integer  then this algorithm is known as radix-2 algorithm.
Ques_187,What Is Dit Algorithm?,Hard, Decimation-In-Time algorithm is used to calculate the DFT of a N point sequence. The idea is to break the N point sequence into two sequences  the DFTs of which can be combined to give the DFt of the original N point sequence.This algorithm is called DIT because the sequence x(n) is often splitted into smaller sub- sequences.
Ques_188,What Dif Algorithm?,Hard, It is a popular form of the FFT algorithm. In this the output sequence X(k) is divided into smaller and smaller sub-sequences   that is why the name Decimation In Frequency.
Ques_189,What Is Gibbâ€™s Phenomenon?,Hard,One possible way of finding an FIR filter that approximates H(ejw) would be to truncate the infinite Fourier series at n=Â±(N-1/2).Direct truncation of the series will lead to fixed percentage overshoots and undershoots before and after an approximated discontinuity in the frequency response.
Ques_190,What is a Node?,Easy,Two or more computers are connected directly by an optical fiber or any other cable. A node is a point where a connection established. It is a network component that is used to send  receive and forward the electronic information. A device connected to a network is also termed as Node. Let's consider that in a network there are 2 computers  2 printers  and a server are connected  then we can say that there are five nodes on the network.
Ques_191,What is a Network?,Easy,A network is a set of devices connected to each other using a physical transmission medium.Example: A Computer Network is a group of computers connected with each other to communicate and share information and resources like hardware  data  and software across each other.
Ques_192,What is the OSI reference model?,Easy,Open System Interconnection  the name itself suggests that it is a reference model that defines how applications can communicate with each other over a networking system.It also helps to understand the relationship between networks and defines the process of communication in a network.
Ques_193,What is a Firewall?,Medium,NIC stands for Network Interface Card. It is also known as Network Adapter or Ethernet Card. It is in the form of an add-in card and is installed on a computer so that the computer can be connected to a network.
Ques_194,What is a VPN?,Medium,VPN is the Virtual Private Network and is built on the Internet as a private wide area network. Internet-based VPNs are less expensive and can be connected from anywhere in the world.VPNs are used to connect offices remotely and are less expensive when compared to WAN connections. VPNs are used for secure transactions and confidential data can be transferred between multiple offices. VPN keeps company information secure against any potential intrusion.
Ques_195,What is DHCP ?,Medium,DHCP stands for Dynamic Host Configuration Protocol and it automatically assigns IP addresses to the network devices. It completely removes the process of manual allocation of IP addresses and reduces the errors caused due to this.This entire process is centralized so that the TCP/IP configuration can also be completed from a central location. DHCP has a â€œpool of IP addressesâ€ from which it allocates the IP address to the network devices. DHCP cannot recognize if any device is configured manually and assigned with the same IP address from the DHCP pool
Ques_196,What is SNMP?,Medium,SNMP stands for Simple Network Management Protocol. It is a network protocol used for collecting organizing and exchanging information between network devices. SNMP is widely used in network management for configuring network devices like switches  hubs  routers  printers  servers.
Ques_197,What is Piggybacking?,Hard,In data transmission if the sender sends any data frame to the receiver then the receiver should send the acknowledgment to the sender. The receiver will temporarily delay (waits for the network layer to send the next data packet) the acknowledgment and hooks it to the next outgoing data frame  this process is called as Piggybacking
Ques_198,What is Brouter?,Hard,Brouter or Bridge Router is a device that acts as both a bridge and a router. As a bridge  it forwards data between the networks. And as a router  it routes the data to specified systems within a network.
Ques_199,What is Beaconing?,Hard,If a network self-repair its problem then it is termed as Beaconing. Mainly it is used in the token ring and FDDI (Fiber Distributed Data Interface) networks. If a device in the network is facing any problem  then it notifies the other devices that they are not receiving any signal. Likewise  the problem gets repaired within the network.
Ques_200,Design and implement an iterator to flatten a 2d vector. It should support the following operations: next and hasNext.   Example: Vector2D iterator = new Vector2D([[1 2] [3] [4]]);  iterator.next(); // return 1 iterator.next(); // return 2 iterator.next(); // return 3 iterator.hasNext(); // return true iterator.hasNext(); // return true iterator.next(); // return 4 iterator.hasNext(); // return false   Notes: Please remember to RESET your class variables declared in Vector2D  as static/class variables are persisted across multiple test cases. Please see here for more details. You may assume that next() call will always be valid  that is  there will be at least a next element in the 2d vector when next() is called.   Follow up: As an added challenge  try to code it using only iterators in C++ or iterators in Java.,Medium,Subscription Needed ####LeetCode####  Since the OJ does while (i.hasNext()) cout << i.next();  i.e.  always calls hasNext before next  I don't really have to call it myself so I could save that line in next. But I think that would be bad  we shouldn't rely on that.  C++  class Vector2D {      vector<vector<int>>::iterator i  iEnd;      int j = 0;  public:      Vector2D(vector<vector<int>>& vec2d) {          i = vec2d.begin();          iEnd = vec2d.end();      }        int next() {          hasNext();          return (*i)[j++];      }        bool hasNext() {          while (i != iEnd && j == (*i).size())              i++  j = 0;          return i != iEnd;      }  };  Java  public class Vector2D {        private Iterator<List<Integer>> i;      private Iterator<Integer> j;        public Vector2D(List<List<Integer>> vec2d) {          i = vec2d.iterator();      }        public int next() {          hasNext();          return j.next();      }        public boolean hasNext() {          while ((j == null || !j.hasNext()) && i.hasNext())              j = i.next().iterator();          return j != null && j.hasNext();      }  } ####LeetCode#### public class Vector2D {      int indexList  indexEle;      List<List<Integer>> vec;             public Vector2D(List<List<Integer>> vec2d) {          indexList = 0;          indexEle = 0;          vec = vec2d;      }        public int next() {          return vec.get(indexList).get(indexEle++);      }        public boolean hasNext() {          while(indexList < vec.size()){              if(indexEle < vec.get(indexList).size())                  return true;              else{                  indexList++;                  indexEle = 0;              }          }          return false;      }  } ####LeetCode#### I first hold the 2D List inside a Iterator of List this allows me to operate on the subsequent list once needed. I then remove the first list from the 2D List and store as row which is evaluated when next() & hasNext() are called. I then want to ensure row iterator is pointing to a none empty list so i call the getNextRow() method. next() and hashNext() are now very simple. next() returns the next element of the current list then ensures row isn't empty. hasNext() checks row isn't null and has a next value.  public class Vector2D {      Iterator<List<Integer>> itrs;      Iterator<Integer> row;      public Vector2D(List<List<Integer>> vec2d) {          if(vec2d == null || vec2d.size() == 0) return;          itrs = vec2d.iterator();          row = itrs.next().iterator();          getNextRow();      }            private void getNextRow(){          while(!row.hasNext() && itrs.hasNext()) row = itrs.next().iterator();      }        public int next() {          int next = row.next();          getNextRow();          return next;      }        public boolean hasNext() {          return row != null && row.hasNext();      }  } ####LeetCode#### 
Ques_201,Given an array of meeting time intervals consisting of start and end times [[s1 e1] [s2 e2] ...] (si < ei)  determine if a person could attend all meetings. Example 1: Input: [[0 30] [5 10] [15 20]] Output: false Example 2: Input: [[7 10] [2 4]] Output: true NOTE: input types have been changed on April 15  2019. Please reset to default code definition to get new method signature.,Easy,Solution Approach #1 (Brute Force) [Accepted] The straight-forward solution is to compare every two meetings in the array  and see if they conflict with each other (i.e. if they overlap). Two meetings overlap if one of them starts while the other is still taking place. Java public boolean canAttendMeetings(Interval[] intervals) {     for (int i = 0; i < intervals.length; i++) {         for (int j = i + 1; j < intervals.length; j++) {             if (overlap(intervals[i]  intervals[j])) return false;         }     }     return true; }  private boolean overlap(Interval i1  Interval i2) {     return ((i1.start >= i2.start && i1.start < i2.end)          || (i2.start >= i1.start && i2.start < i1.end)); } Overlap Condition The overlap condition in the code above can be written in a more concise way. Consider two non-overlapping meetings. The earlier meeting ends before the later meeting begins. Therefore  the minimum end time of the two meetings (which is the end time of the earlier meeting) is smaller than or equal the maximum start time of the two meetings (which is the start time of the later meeting). Figure 1. Two non-overlapping intervals. Figure 2. Two overlapping intervals. So the condition can be rewritten as follows. private boolean overlap(Interval i1  Interval i2) {     return (Math.min(i1.end  i2.end) >             Math.max(i1.start  i2.start)); } Complexity Analysis Because we have two check every meeting with every other meeting  the total run time is O(n^2) O(n 2 ). No additional space is used  so the space complexity is O(1) O(1). Approach #2 (Sorting) [Accepted] The idea here is to sort the meetings by starting time. Then  go through the meetings one by one and make sure that each meeting ends before the next one starts. Java public boolean canAttendMeetings(Interval[] intervals) {     Arrays.sort(intervals  new Comparator<Interval>() {         public int compare(Interval i1  Interval i2) {             return i1.start - i2.start;         }             });     for (int i = 0; i < intervals.length - 1; i++) {         if (intervals[i].end > intervals[i + 1].start) return false;     }     return true; } Complexity Analysis Time complexity : O(n \log n) O(nlogn). The time complexity is dominated by sorting. Once the array has been sorted  only O(n) O(n) time is taken to go through the array and determine if there is any overlap. Space complexity : O(1) O(1). Since no additional space is allocated. Analysis written by: @noran ####LeetCode####  public boolean canAttendMeetings(Interval[] intervals) {    if (intervals == null)      return false;      // Sort the intervals by start time    Arrays.sort(intervals  new Comparator<Interval>() {      public int compare(Interval a  Interval b) { return a.start - b.start; }    });        for (int i = 1; i < intervals.length; i++)      if (intervals[i].start < intervals[i - 1].end)        return false;        return true;  } ####LeetCode#### public boolean canAttendMeetings(Interval[] intervals) {          int len=intervals.length;          if(len==0){              return true;          }          int[]begin=new int[len];          int[]stop=new int[len];          for(int i=0;i<len;i++){              begin[i]=intervals[i].start;              stop[i]=intervals[i].end;          }          Arrays.sort(begin);          Arrays.sort(stop);          int endT=0;          for(int i=1;i<len;i++){              if(begin[i]<stop[i-1]){                  return false;              }          }          return true;  } ####LeetCode#### def canAttendMeetings(self  intervals):      intervals.sort(key=lambda x: x.start)            for i in range(1  len(intervals)):          if intervals[i].start < intervals[i-1].end:              return False                return True ####LeetCode#### 
Ques_202,Given an array of meeting time intervals consisting of start and end times [[s1 e1] [s2 e2] ...] (si < ei)  find the minimum number of conference rooms required. Example 1: Input: [[0  30] [5  10] [15  20]] Output: 2 Example 2: Input: [[7 10] [2 4]] Output: 1 NOTE: input types have been changed on April 15  2019. Please reset to default code definition to get new method signature.,Medium,"Solution  Intuition This problem is very similar to something that employees of a company can face potentially on daily basis. Suppose you work at a company and you belong to the IT department and one of your job responsibilities is securing rooms for meetings that are to happen throughout the day in the office. You have multiple meeting rooms in the office and you want to make judicious use of them. You don't really want to keep people waiting and want to give a group of employees a room to hold the meeting right on time. At the same time  you don't really want to use too many rooms unless absolutely necessary. It would make sense to hold meetings in different rooms provided that the meetings are colliding with each other  otherwise you want to make use of as less rooms as possible to hold all of the meetings. How do you go about it ? I just represented a common scenario at an office where given the start and end times for meetings to happen throughout the day  you  as an IT guy need to setup and allocate the room numbers to different teams. Let's approach this problem from the perspective of a group of people who want to hold a meeting and have not been allocated a room yet. What would they do? This group would essentially go from one room to another and check if any meeting room is free. If they find a room that is indeed free  they would start their meeting in that room. Otherwise  they would wait for a room to be free. As soon as the room frees up  they would occupy it. This is the basic approach that we will follow in this question. So  it is a kind of simulation but not exactly. In the worst case we can assign a new room to all of the meetings but that is not really optimal right? Unless of course they all collide with each other. We need to be able to find out efficiently if a room is available or not for the current meeting and assign a new room only if none of the assigned rooms is currently free. Let's look at the first approach based on the idea we just discussed.  Approach 1: Priority Queues We can't really process the given meetings in any random order. The most basic way of processing the meetings is in increasing order of their start times and this is the order we will follow. After all if you're an IT guy  you should allocate a room to the meeting that is scheduled for 9 a.m. in the morning before you worry about the 5 p.m. meeting  right? Let's do a dry run of an example problem with sample meeting times and see what our algorithm should be able to do efficiently. We will consider the following meeting times for our example (1  10)  (2  7)  (3  19)  (8  12)  (10  20)  (11  30). The first part of the tuple is the start time for the meeting and the second value represents the ending time. We are considering the meetings in a sorted order of their start times. The first diagram depicts the first three meetings where each of them requires a new room because of collisions. The next 3 meetings start to occupy some of the existing rooms. However  the last one requires a new room altogether and overall we have to use 4 different rooms to accommodate all the meetings. Sorting part is easy  but for every meeting how do we find out efficiently if a room is available or not? At any point in time we have multiple rooms that can be occupied and we don't really care which room is free as long as we find one when required for a new meeting. A naive way to check if a room is available or not is to iterate on all the rooms and see if one is available when we have a new meeting at hand. However  we can do better than this by making use of Priority Queues or the Min-Heap data structure. Instead of manually iterating on every room that's been allocated and checking if the room is available or not  we can keep all the rooms in a min heap where the key for the min heap would be the ending time of meeting. So  every time we want to check if any room is free or not  simply check the topmost element of the min heap as that would be the room that would get free the earliest out of all the other rooms currently occupied. If the room we extracted from the top of the min heap isn't free  then no other room is. So  we can save time here and simply allocate a new room. Let us look at the algorithm before moving onto the implementation. Algorithm Sort the given meetings by their start time. Initialize a new min-heap and add the first meeting's ending time to the heap. We simply need to keep track of the ending times as that tells us when a meeting room will get free. For every meeting room check if the minimum element of the heap i.e. the room at the top of the heap is free or not. If the room is free  then we extract the topmost element and add it back with the ending time of the current meeting we are processing. If not  then we allocate a new room and add it to the heap. After processing all the meetings  the size of the heap will tell us the number of rooms allocated. This will be the minimum number of rooms needed to accommodate all the meetings. Let us not look at the implementation for this algorithm. Complexity Analysis Time Complexity: O(N\log N) O(NlogN). There are two major portions that take up time here. One is sorting of the array that takes O(N\log N) O(NlogN) considering that the array consists of N N elements. Then we have the min-heap. In the worst case  all N N meetings will collide with each other. In any case we have N N add operations on the heap. In the worst case we will have N N extract-min operations as well. Overall complexity being (NlogN) (NlogN) since extract-min operation on a heap takes O(\log N) O(logN). Space Complexity: O(N) O(N) because we construct the min-heap and that can contain N N elements in the worst case as described above in the time complexity section. Hence  the space complexity is O(N) O(N).  Approach 2: Chronological Ordering Intuition The meeting timings given to us define a chronological order of events throughout the day. We are given the start and end timings for the meetings which can help us define this ordering. Arranging the meetings according to their start times helps us know the natural order of meetings throughout the day. However  simply knowing when a meeting starts doesn't tell us much about its duration. We also need the meetings sorted by their ending times because an ending event essentially tells us that there must have been a corresponding starting event and more importantly  an ending event tell us that a previously occupied room has now become free. A meeting is defined by its start and end times. However  for this specific algorithm  we need to treat the start and end times individually. This might not make sense right away because a meeting is defined by its start and end times. If we separate the two and treat them individually  then the identity of a meeting goes away. This is fine because: When we encounter an ending event  that means that some meeting that started earlier has ended now. We are not really concerned with which meeting has ended. All we need is that some meeting ended thus making a room available. Let us consider the same example as we did in the last approach. We have the following meetings to be scheduled: (1  10)  (2  7)  (3  19)  (8  12)  (10  20)  (11  30). As before  the first diagram show us that the first three meetings are colliding with each other and they have to be allocated separate rooms. The next two diagrams process the remaining meetings and we see that we can now reuse some of the existing meeting rooms. The final result is the same  we need 4 different meeting rooms to process all the meetings. That's the best we can do here. Algorithm Separate out the start times and the end times in their separate arrays. Sort the start times and the end times separately. Note that this will mess up the original correspondence of start times and end times. They will be treated individually now. We consider two pointers: s_ptr and e_ptr which refer to start pointer and end pointer. The start pointer simply iterates over all the meetings and the end pointer helps us track if a meeting has ended and if we can reuse a room. When considering a specific meeting pointed to by s_ptr  we check if this start timing is greater than the meeting pointed to by e_ptr. If this is the case then that would mean some meeting has ended by the time the meeting at s_ptr had to start. So we can reuse one of the rooms. Otherwise  we have to allocate a new room. If a meeting has indeed ended i.e. if start[s_ptr] >= end[e_ptr]  then we increment e_ptr. Repeat this process until s_ptr processes all of the meetings. Let us not look at the implementation for this algorithm. Complexity Analysis Time Complexity: O(N\log N) O(NlogN) because all we are doing is sorting the two arrays for start timings and end timings individually and each of them would contain N N elements considering there are N N intervals. Space Complexity: O(N) O(N) because we create two separate arrays of size N N  one for recording the start times and one for the end times.   Analysis written by: @sachinmalhotra1993.1 /** 2  * Definition for an interval. public class Interval { int start; int end; Interval() { start = 0; 3  * end = 0; } Interval(int s  int e) { start = s; end = e; } } 4  */ 5 class Solution { 6 7   public int minMeetingRooms(Interval[] intervals) { 8 9     // Check for the base case. If there are no intervals  return 0 10     if (intervals.length == 0) { 11       return 0; 12     } 13 14     // Min heap 15     PriorityQueue<Integer> allocator = 16         new PriorityQueue<Integer>( 17             intervals.length  18             new Comparator<Integer>() { 19               public int (    ) { 21               } 22             }); 23 24     // Sort the intervals by start time 25     Arrays.sort( 26         intervals  27         new Comparator<Interval>() { 28           public int compare(Interval a  Interval b) {1 /** 2  * Definition for an interval. public class Interval { int start; int end; Interval() { start = 0; 3  * end = 0; } Interval(int s  int e) { start = s; end = e; } } 4  */ 5 class Solution { 6 7   public int minMeetingRooms(Interval[] intervals) { 8 9     // Check for the base case. If there are no intervals  return 0 10     if (intervals.length == 0) { 11       return 0; 12     } 13 14     Integer[] start = new Integer[intervals.length]; 15     Integer[] end = new Integer[intervals.length]; 16 17     for (int i = 0; i < intervals.length; i++) { 18       start[i] = [].; 20     } 21 22     // Sort the intervals by end time 23     Arrays.sort( 24         end  25         new Comparator<Integer>() { 26           public int compare(Integer a  Integer b) { 27             return a - b; ####LeetCode####  The solution is proposed by @pinkfloyda at ""Super Easy Java Solution Beats 98.8%""   which is amazing.  Here I would like to explain why it works a little bit.  The code from @pinkfloyda:  public class Solution {      public int minMeetingRooms(Interval[] intervals) {          int[] starts = new int[intervals.length];          int[] ends = new int[intervals.length];          for(int i=0; i<intervals.length; i++) {              starts[i] = intervals[i].start;              ends[i] = intervals[i].end;          }          Arrays.sort(starts);          Arrays.sort(ends);          int rooms = 0;          int endsItr = 0;          for(int i=0; i<starts.length; i++) {              if(starts[i]<ends[endsItr])                  rooms++;              else                  endsItr++;          }          return rooms;      }  }  To understand why it works  first letâ€™s define two events:  Meeting Starts  Meeting Ends  Next  we acknowledge three facts:  The numbers of the intervals give chronological orders  When an ending event occurs  there must be a starting event has happened before that  where â€œhappen beforeâ€ is defined by the chronological orders given by the intervals  Meetings that started which havenâ€™t ended yet have to be put into different meeting rooms  and the number of rooms needed is the number of such meetings  So  what this algorithm works as follows:  for example  we have meetings that span along time as follows:  |_____|        |______|  |________|          |_______|  Then  the start time array and end time array after sorting appear like follows:  ||    ||       |   |   |  |  Initially  endsItr points to the first end event  and we move i which is the start event pointer. As we examine the start events  weâ€™ll find the first two start events happen before the end event that endsItr points to  so we need two rooms (we magically created two rooms)  as shown by the variable rooms. Then  as i points to the third start event  weâ€™ll find that this event happens after the end event pointed by endsItr  then we increment endsItr so that it points to the next end event. What happens here can be thought of as one of the two previous meetings ended  and we moved the newly started meeting into that vacant room  thus we donâ€™t need to increment rooms at this time and move both of the pointers forward.  Next  because endsItr moves to the next end event  weâ€™ll find that the start event pointed by i happens before the end event pointed by endsItr. Thus  now we have 4 meetings started but only one ended  so we need one more room. And it goes on as this. ####LeetCode#### Just want to share another idea that uses min heap  average time complexity is O(nlogn).  public int minMeetingRooms(Interval[] intervals) {      if (intervals == null || intervals.length == 0)          return 0;                // Sort the intervals by start time      Arrays.sort(intervals  new Comparator<Interval>() {          public int compare(Interval a  Interval b) { return a.start - b.start; }      });            // Use a min heap to track the minimum end time of merged intervals      PriorityQueue<Interval> heap = new PriorityQueue<Interval>(intervals.length  new Comparator<Interval>() {          public int compare(Interval a  Interval b) { return a.end - b.end; }      });            // start with the first meeting  put it to a meeting room      heap.offer(intervals[0]);            for (int i = 1; i < intervals.length; i++) {          // get the meeting room that finishes earliest          Interval interval = heap.poll();                    if (intervals[i].start >= interval.end) {              // if the current meeting starts right after               // there's no need for a new room  merge the interval              interval.end = intervals[i].end;          } else {              // otherwise  this meeting needs a new room              heap.offer(intervals[i]);          }                    // don't forget to put the meeting room back          heap.offer(interval);      }            return heap.size();  } ####LeetCode####  # Very similar with what we do in real life. Whenever you want to start a meeting     # you go and check if any empty room available (available > 0) and   # if so take one of them ( available -=1 ). Otherwise    # you need to find a new room someplace else ( numRooms += 1 ).     # After you finish the meeting  the room becomes available again ( available += 1 ).      def minMeetingRooms(self  intervals):          starts = []          ends = []          for i in intervals:              starts.append(i.start)              ends.append(i.end)                    starts.sort()          ends.sort()          s = e = 0          numRooms = available = 0          while s < len(starts):              if starts[s] < ends[e]:                  if available == 0:                      numRooms += 1                  else:                      available -= 1                                        s += 1              else:                  available += 1                  e += 1                    return numRooms ####LeetCode#### "
Ques_203,Numbers can be regarded as product of its factors. For example  8 = 2 x 2 x 2;   = 2 x 4. Write a function that takes an integer n and return all possible combinations of its factors. Note: You may assume that n is always positive. Factors should be greater than 1 and less than n. Example 1: Input: 1 Output: [] Example 2: Input: 37 Output:[] Example 3: Input: 12 Output: [   [2  6]    [2  2  3]    [3  4] ] Example 4: Input: 32 Output: [   [2  16]    [2  2  8]    [2  2  2  4]    [2  2  2  2  2]    [2  4  4]    [4  8] ],Medium,Subscription Needed ####LeetCode####  public List<List<Integer>> getFactors(int n) {      List<List<Integer>> result = new ArrayList<List<Integer>>();      helper(result  new ArrayList<Integer>()  n  2);      return result;  }    public void helper(List<List<Integer>> result  List<Integer> item  int n  int start){      if (n <= 1) {          if (item.size() > 1) {              result.add(new ArrayList<Integer>(item));          }          return;      }            for (int i = start; i <= n; ++i) {          if (n % i == 0) {              item.add(i);              helper(result  item  n/i  i);              item.remove(item.size()-1);          }      }  } ####LeetCode#### public List<List<Integer>> getFactors(int n) {      List<List<Integer>> result = new ArrayList<List<Integer>>();      if (n <= 3) return result;      helper(n  -1  result  new ArrayList<Integer>());      return result;   }    public void helper(int n  int lower  List<List<Integer>> result  List<Integer> cur) {      if (lower != -1) {          cur.add(n);          result.add(new ArrayList<Integer>(cur));          cur.remove(cur.size() - 1);      }      int upper = (int) Math.sqrt(n);      for (int i = Math.max(2  lower); i <= upper; ++i) {          if (n % i == 0) {              cur.add(i);              helper(n / i  i  result  cur);              cur.remove(cur.size() - 1);          }      }  } ####LeetCode#### class Solution {      public:          void getResult(vector<vector<int>> &result vector<int> &row int n){              int i=row.empty()?2:row.back();              for(;i<=n/i;++i){                  if(n%i==0){                      row.push_back(i);                      row.push_back(n/i);                      result.push_back(row);                      row.pop_back();                      getResult(result row n/i);                      row.pop_back();                  }              }          }                vector<vector<int>> getFactors(int n) {              vector<vector<int>> result;              vector<int>row;              getResult(result row n);              return result;          }      }; ####LeetCode#### 
Ques_204,Given an array of numbers  verify whether it is the correct preorder traversal sequence of a binary search tree. You may assume each number in the sequence is unique. Consider the following binary search tree:       5     / \    2   6   / \  1   3 Example 1: Input: [5 2 6 1 3] Output: false Example 2: Input: [5 2 1 3 6] Output: true Follow up: Could you do it using only constant space complexity?,Medium,Subscription Needed ####LeetCode####  Solution 1  Kinda simulate the traversal  keeping a stack of nodes (just their values) of which we're still in the left subtree. If the next number is smaller than the last stack value  then we're still in the left subtree of all stack nodes  so just push the new one onto the stack. But before that  pop all smaller ancestor values  as we must now be in their right subtrees (or even further  in the right subtree of an ancestor). Also  use the popped values as a lower bound  since being in their right subtree means we must never come across a smaller number anymore.  public boolean verifyPreorder(int[] preorder) {      int low = Integer.MIN_VALUE;      Stack<Integer> path = new Stack();      for (int p : preorder) {          if (p < low)              return false;          while (!path.empty() && p > path.peek())              low = path.pop();          path.push(p);      }      return true;  }  Solution 2 ... O(1) extra space  Same as above  but abusing the given array for the stack.  public boolean verifyPreorder(int[] preorder) {      int low = Integer.MIN_VALUE  i = -1;      for (int p : preorder) {          if (p < low)              return false;          while (i >= 0 && p > preorder[i])              low = preorder[i--];          preorder[++i] = p;      }      return true;  }  Solution 3 ... Python  Same as solution 1  just in Python.  def verifyPreorder(self  preorder):      stack = []      low = float('-inf')      for p in preorder:          if p < low:              return False          while stack and p > stack[-1]:              low = stack.pop()          stack.append(p)      return True ####LeetCode#### THOUGHT: We first look at the property of preorder traversal: we print left childâ€™s value of current node all the way until we reached a leaf node (you will see numbers decreasing)  then we start printing the value of a node (let it be rc) which is the right child of one of the nodes (let it be node p) we already traversed. When do you know it's a right child node's value? It's when you see a value greater than the last one. Also till here we know  all the nodes in pâ€™s left subtree have been read in the serialized array  and this property is maintained:  left subtree â€˜s value < p â€™s value < rcâ€™s value  Since all the nodes whose value is smaller than p are already read  all the nodesâ€™ value to be read after should have greater value than pâ€™s value  so pâ€™s value becomes the lower bound for any upcoming node.  p â€™s value < upcoming value in array  Otherwise  itâ€™s not valid. So the key here is to find the lower bound for upcoming nodes  which equals to find p.  To translate this into code: looking for the trend of numbers  if itâ€™s decreasing  itâ€™s still traversing the left child node all the way down  we push the value into stack. When we read a value greater than the last one  we know the current value belongs to a right node (let it be rc: right child) of one of the previous nodes (let it be p) we pushed to stack  in other words  p is a parent node of the current node rc. Due to the property of preorder traversal  pâ€™s value is pushed to stack before its left subtree nodes  so to find the parent node  we pop all the nodes in its left subtree  and the last popped node whose value is smaller than rc is rcâ€™s parent p  whose value becomes the lower bound. Then we keep reading the serialized array  in any case we see any value not greater than the lower bound  we return false. Lower bound is updated whenever we read a right child nodeâ€™s value.  class Solution {  public:      bool verifyPreorder(vector<int>& preorder) {          stack<int> stk;          int lower_bound = INT_MIN;          for(int i = 0; i < preorder.size(); i++){              if(stk.empty() || preorder[i] < preorder[i - 1]){                  if(preorder[i] <= lower_bound) return false;                  stk.push(preorder[i]);              }else{                  while(!stk.empty() && stk.top() < preorder[i]){                      lower_bound = stk.top();                      stk.pop();                  }                  stk.push(preorder[i]);              }          }                    return true;      }  };  Using this image as an example:  Push 50  Push 17   Push 9  (read 14  14 > 9)  Pop 9 (lower bound = 9)  Push 14  Push 12  (read 23  23 > 12)  Pop 12  Pop 14  Pop 17 (lower bound = 17)  Push 23  (read 76  76 > 23)  Pop 23  Pop 50 (lowerbound = 50)  Push 76  Push 54  (read 72  72 > 54)  Pop 54 (lower bound = 54)  Push 72  Push 67 ####LeetCode#### A easy solution is O(n) time and O(n) space using a stack  def verifyPreorder(self  preorder):      stack = []      lower = -1 << 31      for x in preorder:          if x < lower:              return False          while stack and x > stack[-1]:              lower = stack.pop()          stack.append(x)      return True      # 59 / 59 test cases passed.  # Status: Accepted  # Runtime: 100 ms  # 95.31%  Then we realize that the preorder array can be reused as the stack thus achieve O(1) extra space  since the scanned items of preorder array is always more than or equal to the length of the stack.  def verifyPreorder(self  preorder):      # stack = preorder[:i]  reuse preorder as stack      lower = -1 << 31      i = 0      for x in preorder:          if x < lower:              return False          while i > 0 and x > preorder[i - 1]:              lower = preorder[i - 1]              i -= 1          preorder[i] = x          i += 1      return True      # 59 / 59 test cases passed.  # Status: Accepted  # Runtime: 112 ms  # 70.31% ####LeetCode#### 
